,Particle Identity,,,,Number of Particle,,First Nearest Neighbor,,,,,Second Nearest Neighbor,,,,,Third Nearest Neighbor,,,,
,,,,,NP_A,NP_B,Nearest Neighbor (Particle A),,Nearest Neighbor (Particle B),,Distance,Nearest Neighbor (Particle A),,Nearest Neighbor (Particle B),,Distance,Nearest Neighbor (Particle A),,Nearest Neighbor (Particle B),,Distance
Crystal Type,Prototype,Type,Particle A,Particle B,,,NN_A_A,NN_A_B,NN_B_A,NN_B_B,,NN_A_A,NN_A_B,NN_B_A,NN_B_B,,NN_A_A,NN_A_B,NN_B_A,NN_B_B,
CsCl,CsCl,Pm-3m,Cs,Cl,1,1,0,8,8,0,1,6,0,0,6,1.154818769,12,0,0,12,1.63304299
AlB2,"AlB2,hP3,191",P6/mmm,Al,B,1,2,0,12,6,0,1,6,0,0,6,1.263777871,2,0,0,2,1.368111064
Cr3Si,"Cr3Si,cP8,223",Pm-3n,Cr,Si,6,2,0,4,12,0,1,8,0,0,0,1.095144871,0,0,0,8,1.548942835
Cs6C60,Cs6C60,Im-3,Cs,C,1,6,0,22,7,20,1,4,0,0,16,1.14122449,0,22,6,47,1.267210884
AgI,"VH0.5,cI14,229",Im-3m,Ag,I,1,1,2,4,24,0,1,12,0,0,0,1.164842923,16,0,0,0,1.482527356
Cu5Zn8,"Cu5Zn8,cI52,217",I-43m,Cu,Zn,5,8,6,9,6,12,1,0,1,1,8,1.296755377,12,6,6,18,1.549398469
Pd5Th3,"Th3Pd5,hP8,189",P-62m,Pd,Th,5,3,7,6,7,0,1,7,2,2,6,1.29750416,5,2,2,2,1.46422629
Pt3O4,"Pt3O4,cP14,223",Pm-3n,Pt,O,6,8,4,8,6,6,1,2,0,0,6,1.413670886,8,8,6,0,1.73164557
[C60]Cs3,"K4[C60],tI10,139",I4/mmm,Cs,C60,8,1,5,4,16,0,1,4,0,0,0,1.219686997,12,2,8,8,1.565597228
[H2O],"[H2O],cF40,227",Fd-3m O2,H,O,32,8,0,1,4,0,1,3,1,4,0,1.74750499,6,0,0,0,2.285429142
AcCl3,"UCl3,hP8,176",P6_3/m,Ac,Cl,2,6,0,9,3,0,1,0,0,0,8,1.154980341,2,3,1,4,1.527195282
AcH2,"CaF2,cF12,225",Fm-3m,Ac,H,4,8,0,8,4,0,1,0,0,0,6,1.154786151,12,0,0,12,1.63299389
Ag2Ba,"KHg2,oI12,74",Imma,Ag,Ba,8,4,0,6,12,0,1,2,0,0,4,1.158586689,9,0,0,2,1.368392221
Ag2Dy,"MoSi2,tI6,139",I4/mmm,Ag,Dy,4,2,5,5,10,0,1,4,0,0,4,1.19341298,4,4,8,0,1.556990636
Ag2F,"CdI2,hP3,164",P-3m1,Ag,F,2,1,0,3,6,0,1,9,0,0,6,1.220768602,3,3,6,0,1.169255928
Ag2O,"Cu2O,cP6,224",Pn-3m O2,Ag,O,4,2,0,2,4,0,1,12,0,0,0,1.633072407,0,6,12,0,1.914872798
Ag3In,"Cu3Au,cP4,221",Pm-3m,Ag,In,3,1,8,4,12,0,1,6,0,0,6,1.414334471,16,8,24,0,1.732081911
Ag3O,"BiI3,hP8,162",P-31m,Ag,O,6,2,0,2,6,0,1,12,0,0,3,1.202879581,0,2,6,0,1.634816754
Ag4Lu,"MoNi4,tI10,87",I4/m,Ag,Lu,6,2,3,9,12,0,1,5,1,4,2,1.39389876,20,4,16,8,1.727790815
AgBa,"FeB-b,oP8,62",Pnma,Ag,Ba,4,4,0,7,7,0,1,0,0,0,6,1.211307025,2,0,0,2,1.292471313
AgBr,"K{NH2],mP4,11",P12_1/m1,Ag,Br,2,2,0,6,6,0,1,2,0,0,0,1.108495394,0,0,0,4,1.182190379
AgF2,"AgF2,oP12,61",Pbca,Ag,F,4,8,0,6,3,0,1,0,2,0,1,1.240651965,0,2,1,8,1.372483221
AgHf,"CuTi,tP4,129",P4/nmm O2,Ag,Hf,2,2,4,5,5,0,1,0,0,0,4,1.055123436,4,0,0,4,1.156577612
AgIn2,"CuAl2,tI12,140",I4/mcm,Ag,In,4,8,2,8,4,1,1,0,0,0,10,1.198036561,4,16,8,0,1.677168022
AgK2,"Hg2U,hP3,191",P6/mmm,Ag,K,1,2,2,12,6,2,1,0,0,0,6,1.311671088,6,0,0,6,1.470291777
AgLa,"AuCd,oP4,51",Pmma,Ag,La,2,2,0,4,4,0,1,4,4,4,4,1.080304604,6,0,0,6,1.498442368
AgTi,"CdTi,tP4,129",P4/mnmm O2,Ag,Ti,2,2,8,4,4,4,1,0,1,1,0,1.312922869,4,0,0,4,1.388700947
Al12Mo,"WAl12,cI26,204",Im-3,Al,Mo,24,2,10,1,12,0,1,7,0,0,0,1.388869685,10,2,24,0,1.627376426
Al2O3,"Al2O3,hR30,167",R-3c h,Al,O,12,18,0,6,4,0,1,4,0,0,12,1.280542986,3,3,2,0,1.634489693
Al3Ce,"Mg3Cd,hP8,194",P6_3/mmc,Al,Ce,6,2,4,2,6,0,1,4,2,6,0,1.098289165,6,0,0,6,1.485407581
AlD3,"FeF3,hR24,167",R-3c h,Al,Dy,6,24,0,6,2,0,1,0,0,0,12,1.410391127,6,6,2,0,1.871570344
AlLi,"LiIn,tI8,141",I4_1/amd O2,Al,Li,6,6,4,4,4,4,1,0,6,6,0,1.154154519,12,0,0,12,1.631924198
AlTh,"TlI,oS8,63",Cmcm,Al,Th,6,6,2,5,5,0,1,0,2,2,2,1.083105023,8,0,0,8,1.241400304
Am4Sb3,"Th3P4,cI28,222",I-43d,Th,P,3,4,0,8,6,3,1,8,0,0,8,1.25498132,4,4,3,0,1.537048568
AmB6,"CaB6,cP7,221",Pm-3m,Am,B,1,6,0,24,4,8,1,6,24,0,16,1.306349206,12,24,4,29,1.898746702
As2Fe,"FeAs2,oP6,58",Pnnm,As,Fe,4,2,1,3,6,0,1,1,0,0,2,1.218395632,8,0,0,0,1.386554622
As2O3,"As2O3,cF80,227",Fd-3m O2,AS,O,2,3,0,6,2,4,1,3,3,4,4,1.274862385,6,0,4,3,1.559266055
As3Co,"CoAs3,cI32,204",Im-3,As,Co,24,8,2,2,6,0,1,9,0,0,0,1.355746677,4,4,12,6,1.561767005
AsFe,"FeAs,oP8,62",Pnma,As,Fe,4,4,2,6,6,2,1,8,0,0,4,1.121076233,2,4,4,2,1.483859397
AsGe,"GeP,tI4,107",I4mm,As,Ge,2,2,0,5,5,0,1,0,1,1,0,1.359089061,4,0,0,4,1.396013539
AsLa,"CuTi, tP2,123",P4/mmm,As,La,1,1,2,8,8,2,1,4,0,0,4,1.184640523,8,0,0,8,1.550326797
AsZn,"CdSb,oP16,61",Pbca,As,Zn,8,8,1,4,4,1,1,2,3,3,2,1.308632827,4,1,1,4,1.560808235
AuBr,"AuCl,tI16,141",I4_1/amd O2,Au,Br,8,8,0,2,2,0,1,6,0,0,3,1.456964657,0,4,4,0,1.635343035
AuSb3,"AuSb3,cI8,229",Im-3m,Au,Sb,2,6,0,6,2,4,1,0,12,4,8,1.414144737,8,0,0,8,1.731907895
AuTe2,"AuTe2,ms6,12",C12/m1,Au,Te,2,4,0,4,3,3,1,0,0,0,3,1.163995068,6,6,3,6,1.332922318
B12Dy,"UB12,cF52,225",Fm-3m,B,Dy,48,4,2,2,24,0,1,17,0,0,0,1.255487585,8,2,24,0,1.496941346
B2Os,"RuB2,oP6,59",Pmmm O2,B,Os,4,2,2,4,8,0,1,11,0,0,6,1.350615114,0,6,12,0,1.526801406
B4Cr,"CrB4,oI10,71",Immm,B,Cr,8,2,1,3,12,0,1,11,0,0,2,1.305391744,4,2,8,0,1.441449031
B4Mn,"MnB4,mS10,12",C12/m1,B,Mn,8,2,2,3,12,0,1,8,0,0,2,1.329108194,7,5,20,0,1.644635582
BaC2,"CaC2,tI6,139",I4/mmm,Ba,C,2,4,0,10,5,0,1,4,2,1,9,1.326633166,8,0,0,12,1.444723618
BaTe2,"SrS2,tI12,140",I4/mcm,Ba,Te,4,8,0,8,4,4,1,2,0,0,0,1.247266611,4,8,4,6,1.451359686
BCl,"BCl,tP16,137",P4_2/nmc O2,B,Cl,8,8,3,1,1,0,1,0,3,3,0,1.883064516,0,0,0,7,2.214412286
BCl3,"BCl3,hP8,176",P6_3/m,B,Cl,2,6,0,3,1,0,1,0,0,0,2,1.732081911,0,6,2,10,2.179180887
BeBr2,"SiS2,oI12,72",Ibam,Be,Br,4,8,2,4,2,0,1,10,0,0,0,1.321067821,0,12,6,2,1.619047619
BeF2,"SiO2,hP9,152",P3_1 21,Be,F,3,6,0,4,2,0,1,0,0,0,6,1.629315961,4,6,3,6,2.196742671
Bi4Rh,"RhBi4,cI120,230",Ia-3d,Bi,Rh,4,1,0,2,8,0,1,9,0,0,0,1.243730131,4,2,4,4,1.614623808
BiO1.5,"UO2,cF36,225",Fm-3m,U ,O,4,32,0,24,3,3,1,0,8,1,15,1.293661061,0,0,0,19,1.588615783
Bli,"LiB,hP4,194",P6_3/mmc,B,Li,2,2,0,3,3,0,1,2,6,6,8,1.167527993,0,6,6,0,1.56546081
Br6W,"WCl6,hR21,148",R-3 h,Br,W,16,3,0,1,6,0,1,12,0,0,0,1.41418671,0,1,6,0,1.880962087
BrD,"HBr,oS12,64",Cmce,Br,Dy,4,8,0,2,1,0,1,0,2,1,1,2.068006182,0,0,0,6,2.295981453
BrHf,"ZrBr,hR12,166",R-3m h,Br,Hf,6,6,0,3,3,3,1,9,0,0,6,1.094503594,0,6,6,3,1.494245524
BrHg,"HgCl,tI8,139",I4/mmm,Br,Hg,4,4,0,1,1,1,1,5,4,4,0,1.25309801,4,4,4,8,1.657153586
C2Mg,"MgC2,tP6,136",P4_2/mnm,C,Mg,4,2,0,5,10,0,1,10,1,2,0,1.190375834,4,0,0,12,1.381805409
C2N2,"C2N2,oP16,61",Pbca,C,N,8,8,1,1,1,0,1,0,1,1,0,1.921538462,0,4,4,0,2.533076923
C6Eu,"BaC6,hP14,194",P6_3/mmc,C,Eu,12,2,3,2,12,0,1,6,2,12,0,1.332272888,6,4,24,6,1.597030753
C6Li,"LiC6,hP7,191",P6/mmm,C,Li,6,1,6,2,12,0,1,3,2,12,0,1.376923077,14,0,0,2,1.528340081
CaC2_IV,"CaC2,cF36,225",Fm-3m,Ca,C,4,32,0,24,3,0,1,0,24,3,6,1.259189087,0,0,0,24,1.42629784
CFe3,"Fe3N,hP8,182",P6_3 22,C,Fe,2,6,0,6,2,0,1,0,0,0,12,1.399584847,6,12,4,6,1.820965231
CFe4,"Fe4C,cP5,215",P-43m,C,Fe,1,4,0,4,1,0,1,0,0,0,12,1.543258427,0,12,3,0,1.797191011
Cl3Ru,"RuCl3,hP8,185",P6_3 cm,Cl,Ru,6,2,0,2,6,2,1,120,0,0,0,1.237186285,2,4,12,0,1.587486744
Co2Nd,"YMn2,tI12,141",I4_1/amd O2,Co,Nd,8,4,6,6,12,4,1,12,8,16,0,1.412995246,12,0,0,12,1.634231379
CoLa,"Uco,cI16,199",I2_1 3,Co,La,8,8,3,7,7,3,1,3,0,0,3,1.267923134,6,0,0,6,1.445306726
CrSi2,"CrSi2,hP9,180",P6_2 22,Cr,Si,3,6,0,10,5,5,1,4,0,0,4,1.194152047,0,8,4,4,1.559064327
Cs2Se,"Cs2Se,oF24,43",Fdd2,Cs,Se,2,1,4,3,6,0,1,5,1,2,0,1.064375605,0,1,2,4,1.31195547
CsTe,"CsTe,oP8,55",Pbam,Cs,Te,4,4,3,8,8,0,1,3,0,0,5,1.24680029,10,4,4,6,1.511953634
Cu3N,"ReO3,cP4,221",Pm-3m,Cu,N,3,1,0,2,6,0,1,8,0,0,0,1.414099217,6,8,24,6,2.088772846
CuAu,"CuAu,tP2,123",P4/mmm,Cu,Au,1,1,4,8,8,4,1,6,0,0,6,1.414026344,8,0,0,8,1.643645425
CuZr,"TiNi,mP4,11",P12_1/m1,Cu,Zr,2,2,2,4,4,0,1,4,3,3,6,1.139957265,4,1,1,4,1.487535613
F2Xe,"XeF2,tI6,139",I4/mmm,Fe,Xe,4,2,0,1,2,0,1,5,4,8,0,1.71709531,5,0,0,4,2.175995966
F6Mo,"SF6,cI14,229",Im-3m,F,Mo,12,2,0,1,6,0,1,0,0,0,5,1.414371257,0,0,0,9,2.226347305
FTl,"PbO,oP8,57",Pbcm,F,Tl,4,3.5,0,4,4,0,1,6,1,1,2,1.369657297,2,3,2,10,1.557181363
Ga4Mn,"Hg4Pt,cI10,229",Im-3m,Ga,Mn,8,2,6,2,8,0,1,12,0,0,0,1.41431127,8,6,24,8,1.658318426
GaMg,"MgGa,tI32,88",I4_1/a O2,Ga,Mg,16,16,3,6,6,1,1,0,2,2,7,1.173724575,6,0,0,0,1.456485495
HCl,"HCl,oS8,36",Cmc21,H,Cl,5,5,0,1,1,0,1,2,1,1,0,1.94939759,0,4,4,0,2.753413655
HCl_cubic,"HCl,cF53,225",Fm-3m,H,Cl,48,4,7,1,12,0,1,25,1,12,0,1.422504137,26,4,48,0,1.878654164
InS,"InS,oP8,58",Pnnm,In,S,4,4,1,3,3,0,1,0,2,2,5,1.263310395,6,2,2,2,1.428467946
IrLi,"LiRh,hP2,187",P-6m2,Ir,Li,1,1,6,6,6,6,1,0,6,6,0,1.406646751,8,0,0,8,1.713592233
IrSi3,"IrSi3,hP8,186",P6_3 mc,Ir,Si,2,6,0,9,3,2,1,0,0,0,8,1.443460765,0,12,4,4,1.562013917
IrV,"Vir,oS8,65",Cmmm,Ir,V,4,4,5,8,8,3,1,1,0,0,5,1.273216689,6,0,0,6,1.373149394
Mg3Ru2,"Mg3Ru2,cP20,213",P4_1 32,Mg,Ru,12,8,6,6,9,0,1,2,0,0,0,1.207152497,2,4,6,6,1.570940171
MoPt2,"MoPt2,oI6,71",Immm,Mo,Pt,2,4,2,10,5,3,1,0,0,0,6,1.168224299,2,4,2,2,1.427236315
N2O4_a,"N2O4-a,cI36,204",Im-3,Na,O,2,4,1,2,1,0,1,0,4,2,6,1.606821107,4,2,1,1,2.059202059
N2W,"WN2,hR9,166",R-3m h,N,W,6,3,6,4,8,6,1,3,0,0,0,1.105990783,0,9,18,0,1.354180382
NbO,"NbO,cP6,221",Pm-3m,Nb,O,2,3,0,4,4,0,1,8,0,0,8,1.414136622,0,8,8,0,1.731973435
Nd2O3,"La2O3,hP5,150",P321,Nd,O,2,3,0,6,4,4,1,12,6,4,10,1.34973638,0,6,4,2,1.679789104
O3Sb2,"AsO3,cF80,227",Fd-3m O2,O,Sb,3,2,0,3,2,0,1,8,4,6,3,1.692393115,3,0,0,6,2.14103276
OPb_lt,"PbO,oS8,67",Cmme,O,Pb,4,4,4,4,4,0,1,0,0,0,8,1.347636364,4,4,4,4,1.465818182
OPb_rt,"PbO,tP4,129",P4/nmm O2,O,Pb,2,2,0,4,4,4,1,4,0,0,12,1.414285714,0,12,12,0,1.5375
PtPb4,"PtPb4,tP10,125",P4/nbm O2,Pt,Pb,2,8,0,8,2,0,1,0,0,0,11,1.213268496,4,8,2,0,1.664814172
ThH2,"ThH2,tI6,139",I4/mmm,Th,H,2,4,0,8,4,6,1,12,8,4,12,1.616854483,0,16,8,8,1.959823616
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
